dataset,column,typeof,definition
nace_classification,NACE21_CODE,character,Original NACE version 2.1 code
nace_classification,LEVEL,character,Original NACE version 2.1 code level
nace_classification,NACE21_HEADING,character,Original NACE version 2.1 description
nace_classification,NACE2_CODE,character,Original NACE version 2 code
nace_classification,NACE2_HEADING,character,Original NACE version 2 description
nace_classification,Common_Content,character,Mapping of common content between versions 2.1 and 2
nace_classification,Mapping_Type,character,Explanation of mapping between versions 2.1 and 2
nace_classification,code,character,NACE version 2.1 code with top-level letter prepended
nace_classification,sector,character,Associated PACTA sector
nace_classification,borderline,logical,Flag indicating if PACTA sector and classification code are a borderline match. The value TRUE indicates that the match is uncertain between the PACTA sector and the classification. The value FALSE indicates that the match is certainly perfect or the classification is certainly out of PACTA's scope
nace_classification,version,character,Column identifying to which NACE version the code belongs
